state,median_income,std_err
Alabama,56200.00,2512.00
Alaska,78394.00,6685.00
Arizona,70674.00,3391.00
Arkansas,54539.00,2384.00
California,78105.00,1850.00
Colorado,72499.00,5221.00
Connecticut,87291.00,4630.00
Delaware,74194.00,3009.00
District of Columbia,93111.00,3884.00
Florida,58368.00,1579.00
Georgia,56628.00,1782.00
Hawaii,88006.00,3565.00
Idaho,65988.00,2152.00
Illinois,74399.00,2625.00
Indiana,66693.00,3112.00
Iowa,66054.00,4009.00
Kansas,73151.00,4329.00
Kentucky,55662.00,2553.00
Louisiana,51707.00,1412.00
Maine,66546.00,5002.00
Maryland,95572.00,3284.00
Massachusetts,87707.00,2828.00
Michigan,64119.00,1680.00
Minnesota,81426.00,2988.00
Mississippi,44787.00,2997.00
Missouri,60597.00,2932.00
Montana,60195.00,2294.00
Nebraska,73071.00,3259.00
Nevada,70906.00,3465.00
New Hampshire,86900.00,2721.00
New Jersey,87726.00,4069.00
New Mexico,53113.00,2196.00
New York,71855.00,1699.00
North Carolina,61159.00,1649.00
North Dakota,70031.00,3170.00
Ohio,64663.00,3011.00
Oklahoma,59397.00,2357.00
Oregon,74413.00,5675.00
Pennsylvania,70582.00,3226.00
Rhode Island,70151.00,4980.00
South Carolina,62028.00,1783.00
South Dakota,64255.00,3776.00
Tennessee,56627.00,2766.00
Texas,67444.00,1769.00
Utah,84523.00,3494.00
Vermont,74305.00,3084.00
Virginia,81313.00,3056.00
Washington,82454.00,2920.00
West Virginia,53706.00,2995.00
Wisconsin,67355.00,2323.00
Wyoming,65134.00,3773.00
