state,total_area_mi,total_area_km,land_area_mi,land_area_km,water_area_mi,water_area_km
Alabama,52420,135767,50645,131171,1775,4597
Alaska,665384,1723337,570641,1477953,94743,245383
Arizona,113990,295234,113594,294207,396,1026
Arkansas,53179,137732,52035,134771,1143,2961
California,163695,423967,155779,403466,7916,20501
Colorado,104094,269601,103642,268431,452,1170
Connecticut,5543,14357,4842,12542,701,1816
Delaware,2489,6446,1949,5047,540,1399
District of Columbia,68,177,61,158,7,19
Florida,65758,170312,53625,138887,12133,31424
Georgia,59425,153910,57513,148959,1912,4951
Hawaii,10932,28313,6423,16635,4509,11678
Idaho,83569,216443,82643,214045,926,2398
Illinois,57914,149995,55519,143793,2395,6202
Indiana,36420,94326,35826,92789,593,1537
Iowa,56273,145746,55857,144669,416,1077
Kansas,82278,213100,81759,211754,520,1346
Kentucky,40408,104656,39486,102269,921,2387
Louisiana,52378,135659,43204,111898,9174,23761
Maine,35380,91633,30843,79883,4537,11750
Maryland,12406,32131,9707,25142,2699,6990
Massachusetts,10554,27336,7800,20202,2754,7134
Michigan,96714,250487,56539,146435,40175,104052
Minnesota,86936,225163,79627,206232,7309,18930
Mississippi,48432,125438,46923,121531,1509,3907
Missouri,69707,180540,68742,178040,965,2501
Montana,147040,380831,145546,376962,1494,3869
Nebraska,77348,200330,76824,198974,524,1356
Nevada,110572,286380,109781,284332,791,2048
New Hampshire,9349,24214,8953,23187,397,1027
New Jersey,8723,22591,7354,19047,1368,3544
New Mexico,121590,314917,121298,314161,292,757
New York,54555,141297,47126,122057,7429,19240
North Carolina,53819,139391,48618,125920,5201,13471
North Dakota,70698,183108,69001,178711,1698,4397
Ohio,44826,116098,40861,105829,3965,10269
Oklahoma,69899,181037,68595,177660,1304,3377
Oregon,98379,254799,95988,248608,2391,6191
Pennsylvania,46054,119280,44743,115883,1312,3397
Rhode Island,1545,4001,1034,2678,511,1324
South Carolina,32020,82933,30061,77857,1960,5076
South Dakota,77116,199729,75811,196350,1305,3379
Tennessee,42144,109153,41235,106798,909,2355
Texas,268596,695662,261232,676587,7365,19075
Utah,84897,219882,82170,212818,2727,7064
Vermont,9616,24906,9217,23871,400,1035
Virginia,42775,110787,39490,102279,3285,8508
Washington,71298,184661,66456,172119,4842,12542
West Virginia,24230,62756,24038,62259,192,497
Wisconsin,65496,169635,54158,140268,11339,29367
Wyoming,97813,253335,97093,251470,720,1864
Puerto Rico,5325,13791,3424,8868,1901,4924
Island Areas:5,3860,9998,603,1562,3257,8436
American Samoa,581,1505,76,198,505,1307
Guam,571,1478,210,543,361,935
Northern Mariana Islands,1976,5117,182,472,1793,4644
U.S. Virgin Islands,733,1898,134,348,599,1550
